Country,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Afghanistan,6,8,12,16,24,21,11,No data,No data,No data,No data,No data
Albania,15,15,33,54,53,52,60,62,75,108,117,136
Algeria,No data,38,30,54,53,89,87,84,84,112,147,112
Angola,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Argentina,11,8,11,6,24,15,21,18,19,17,2,0
Armenia,17,18,9,7,8,7,9,No data,14,9,5,3
Azerbaijan,44,28,6,14,22,15,32,16,35,32,23,24
Bangladesh,255,544,650,1103,1902,2874,3800,4293,4840,4932,9379,6892
Bhutan,No data,No data,No data,4,2,4,6,2,0,0,7,No data
Bolivia (Plurinational State of),0,0,0,0,0,0,0,No data,No data,No data,No data,No data
Bosnia and Herzegovina,0,0,2,1,0,0,1,1,0,2,0,1
Brazil,3336,3289,3453,3253,2770,3894,3716,3693,3852,3604,3651,3597
Bulgaria,3,5,12,13,2,3,4,6,2,6,6,12
Côte d'Ivoire,No data,No data,No data,No data,No data,No data,No data,No data,0,0,0,0
Cameroon,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Central African Republic,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Chad,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
China,No data,514,292,120,218,293,402,539,529,382,294,335
Colombia,37,21,31,13,9,11,34,54,33,54,44,66
Croatia,No data,No data,No data,2,0,0,No data,1,4,4,6,7
Cyprus,No data,0,No data,0,0,1,1,No data,0,0,2,No data
Democratic Republic of the Congo,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Djibouti,9,10,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Egypt,No data,0,0,0,0,0,No data,No data,1,No data,No data,No data
El Salvador,No data,0,0,1,0,1,0,0,0,1,0,0
Eritrea,No data,No data,No data,No data,No data,No data,No data,No data,104,129,131,129
Ethiopia,1593,1990,2705,1732,2381,2032,1936,1083,1356,1579,2375,2585
France,8,8,11,8,10,25,5,14,17,22,16,19
Gambia,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Georgia,60,79,55,117,106,123,141,169,171,182,174,160
Greece,57,64,82,75,47,41,28,28,30,48,35,48
Guatemala,2,2,0,1,0,2,0,1,1,No data,No data,No data
Honduras,7,6,2,3,0,7,7,3,3,4,9,7
India,6249,8500,9241,13851,20572,33155,28382,24213,33598,44533,39173,32803
Iran (Islamic Republic of),No data,68,26,81,94,90,91,94,125,153,139,133
Iraq,No data,427,362,575,1045,1167,1843,1549,1041,836,1434,2028
Israel,1,3,1,5,1,0,1,0,2,2,2,3
Italy,No data,No data,No data,62,81,62,71,72,72,104,113,152
Jordan,0,0,0,0,0,0,No data,No data,No data,No data,No data,No data
Kazakhstan,0,1,No data,0,0,2,No data,No data,0,0,2,0
Kenya,692,894,880,181,457,406,No data,85,258,35,195,150
Kyrgyzstan,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Lebanon,0,0,0,2,0,0,No data,0,No data,No data,No data,No data
Libya,No data,No data,No data,No data,No data,No data,No data,3,3,2,No data,No data
Malta,No data,No data,No data,0,3,2,No data,No data,No data,No data,No data,4
Mauritania,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Mexico,No data,1,0,4,4,0,9,7,9,9,9,3
Monaco,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Montenegro,6,5,3,4,No data,No data,1,3,3,1,4,2
Morocco,No data,81,85,111,113,107,139,134,163,160,170,114
Nepal,242,223,311,325,575,886,708,824,1371,1433,1531,1463
Nicaragua,No data,0,0,0,0,0,1,1,4,1,1,1
Niger,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Nigeria,No data,0,0,0,57,0,0,0,0,1,0,2
Oman,No data,1,0,No data,1,0,1,1,0,1,0,2
Pakistan,No data,No data,7,7,14,10,No data,No data,No data,No data,No data,No data
Paraguay,64,92,118,107,76,114,144,82,54,70,66,21
Portugal,No data,0,0,8,5,13,17,11,14,23,10,13
Qatar,,0,0,,,,,,,,,
Romania,No data,1,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Saudi Arabia,No data,3,10,5,8,7,8,17,32,41,31,31
Senegal,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Serbia,No data,0,No data,2,1,2,No data,No data,No data,No data,No data,No data
Slovenia,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Somalia,781,1031,1043,673,394,290,No data,507,583,No data,No data,No data
South Sudan,4175,2840,7472,2364,5012 4353,11862 10468,9166,1907,582,758,1117,3141
Spain,No data,No data,106,276,213,235,153,179,193,255,246,199
Sri Lanka,No data,0,0,No data,No data,No data,No data,No data,No data,No data,No data,No data
Sudan,3810,2829,3415,2389,5153,7418,6957,4880,3310,2788,1827,3713
Syrian Arab Republic,25,20,36,30,17,18,19,16,17,11,3,19
Tajikistan,25,26,47,63,46,25,40,53,15,14,19,14
Thailand,No data,1,0,2,5,1,2,1,4,2,1,No data
The former Yugoslav republic of Macedonia,5,4,11,20,13,2,12,4,7,7,9,7
Tunisia,17,30,44,38,37,55,36,55,63,100,121,120
Turkey,23,23,22,33,13,30,36,23,13,41,20,32
Turkmenistan,No data,No data,No data,0,0,0,No data,No data,No data,No data,No data,No data
Uganda,No data,34,32,141,86,77,78,72,200,38,0,504
Ukraine,No data,No data,No data,No data,No data,No data,3,No data,2,3,3,1
Uzbekistan,38,34,42,37,38,28,25,26,13,5,1,6
Venezuela (Bolivarian Republic of),33,37,9,7,9,15,15,15,18,17,41,58
Yemen,No data,5,15,No data,No data,0,No data,0,No data,No data,No data,No data
Zambia,No data,No data,No data,0,0,0,No data,No data,No data,No data,No data,No data
